,symbol
1210,BXSL
1211,BY
1212,BYD
1213,BYFC
1214,BYND
1215,BYOC
1216,BYRN
1217,BYSI
1218,BYTS
1219,BYTSU
1220,BYTSW
1221,BZH
1222,BZYR
1223,C-PK
1224,C
1225,C9F.DE
1226,CABA
1227,CAC
1228,CADE
1229,CADL
1230,CAG
1231,CAH
1232,CAHC
1233,CAHCW
1234,CAI
1235,CAKE
1236,CALA
1237,CALB
1238,CALM
1239,CALX
1240,CAMP
1241,CANB
1242,CANN
1243,CANO
1244,CAPC
1245,CAPL
1246,CAPR
1247,CARA
1248,CARE
1249,CARG
1250,CARR
1251,CARS
1252,CARV
1253,CAS
1254,CASA
1255,Cash
1256,CASI
1257,CASS
1258,CAT1.DE
1259,CATM
1260,CATO
1261,CATR.PA
1262,CATY
1263,CBAH
1264,CBAN
1265,CBAY
1266,CBB
1267,CBDS
1268,CBFV
1269,CBIO
1270,CBKM
1271,CBL
1272,CBLEQ
1273,CBLI
1274,CBMB
1275,CBNK
1276,CBNT
1277,CBRG
1278,CBSH
1279,CBT
1280,CBTX
1281,CBU
1282,CBZ
1283,CC
1284,CCAI
1285,CCAIU
1286,CCAP
1287,CCB
1288,CCBG
1289,CCCC
1290,CCCS
1291,CCEL
1292,CCIV
1293,CCLP
1294,CCNE
1295,CCNEP
1296,CCO
1297,CCOI
1298,CCRN
1299,CCS
1300,CCSI
1301,CCTC
1302,CCTS
1303,CCV-UN
1304,CCV
1305,CCXI
1306,CCZ
1307,CDAK
1308,CDAQ
1309,CDAQU
1310,CDE
1311,CDEV
1312,CDJM
1313,CDK
1314,CDLX
1315,CDNA
1316,CDR-PB
1317,CDR-PC
1318,CDR
1319,CDRE
1320,CDS.DE
1321,CDTX
1322,CDXC
1323,CDXI
1324,CDXS
1325,CDZI
1326,CDZIP
1327,CECE
1328,CEIX
1329,CELC
1330,CELH
1331,CELP
1332,CELU
1333,CELUW
1334,CELZ
1335,CEMI
1336,CENH
1337,CENHW
1338,CENQ
1339,CENQU
1340,CENQW
